"Entity Couple";"Annotator";"1. Would you say these entities are closely related in any way?";"2. Do you already *know* the nature of the relationship?";"3. Would you *be curious* in learning more about this relationship - if there were one?";"Result";"Surprisal";"Annotation";"S_corrected_Annotation";"First Question";"Second Question"
"Entity Pair 1: Somalia AND Silk_Road";"Anonymous User 1";"No";"DOES NOT APPLY";"No";"Irrelevant";"Unexpected";"0,5";"0,7";0;0
"Entity Pair 1: Somalia AND Silk_Road";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 1: Somalia AND Silk_Road";"Anonymous User 3";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 2: List_of_Indian_film_actresses AND Bipasha_Basu";"Anonymous User 1";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 2: List_of_Indian_film_actresses AND Bipasha_Basu";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 2: List_of_Indian_film_actresses AND Bipasha_Basu";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 3: Måneskin AND Aerosmith";"Anonymous User 1";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 3: Måneskin AND Aerosmith";"Anonymous User 2";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 3: Måneskin AND Aerosmith";"Anonymous User 3";"Yes";"Yes";"DOES NOT APPLY";"Too obvious";"Expected";0;0;1;1
"Entity Pair 4: Cologne_Cathedral AND Panther_tank";"Anonymous User 1";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
"Entity Pair 4: Cologne_Cathedral AND Panther_tank";"Anonymous User 2";"No";"DOES NOT APPLY";"Yes";"Serendipitous";"Unexpected";1;"1,2";0;0
